Manufacturer,Part Number ,Part description ,Part location ,Part details on the system ,Quantity # in stock,Unit Price $,Date Used ,Date Re-Ordered  ,Quantity Used
Linde,E69397,Cryo adsorber heater,Cryoadorber cart,heater for the cryogenic adsorber- for regeneration ,1,3400,,,
mcmastercar,5272K205,"Liquefier lok fitting 3/8""",1st drawer ,,2,,,,
Swagelok,SS-8FK-NFSET,"Liquefier 1/2"" Ferrule set",1st drawer ,,10,,,,
Swagelok,SS-810-1-8RS,LE connector Liquefier ,1st drawer ,,3,,,,
Swagelok,SS-810-SET,"Liquefier2""ferrule set",1st drawer ,,10,,,,
Swagelok,SS-810-P,"Liquefier Stainless plag 1/2""",1st drawer ,,2,,,,
Swagelok,SS-600-NFSET,"Liquefier 3/8"" Nut ferrule set",1st drawer ,,10,,,,
Swagelok,SS-QTM4A-B-6PM,recovery quick connect,1st drawer ,quick connect for recovery lines in the garage or the annex ,4,,,,
Swagelok,KPR1F00412A0-KIT,Regulator repair kit liquefier ,1st drawer ,,2,,,,
Swagelok,SS-600-P,"3/16"" Stainless plug liquefier ",1st drawer ,,3,,,,
Swagelok,SS-6-HN,stainless pipe fitting ,1st drawer ,,2,,,,
Lesker,HBK25028088,Hex bolt kit for 2-18&2-3/4,2nd drawer ,,50pcs total,,,,
Lesker,QF40XQF25CA,reducing full nipple concal ,2nd drawer ,,1,,,,
"Accu-Glass products, Inc.",200813,Hex head bot hex nuts and washer ,2nd drawer ,,32 ea,,,,
CRYOCOMP,V2165-20,"2"" valve operator ",2nd drawer ,,1,,,,
Lesker,QF25XFNPT8,"304 ADAPT .50""",2nd drawer ,,2,,,,
Lesker,QF50-200-BF,BRAZE KF HV flange Brass,2nd drawer ,,4,,,,
Lesker,QF40XMNPT8,"Adapt .50"" ",2nd drawer ,,1,,,,
Lesker,QF50-200-ARV, ,2nd drawer ,,4,,,,
Lesker,QF40-150-ARB,Vacuum gasket ,2nd drawer ,,8,,,,
Lesker,QF25-100-SRB,Vacuum gasket ,2nd drawer ,,4,,,,
Lesker,VR10-0020125,gasket ,2nd drawer ,,9,,,,
